OTUId	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100
JUJ_11845	1	2	27	34	4	8	2	0
JUJ_6173	0	0	0	0	0	0	0	0
JUJ_7290	0	0	0	0	0	0	1	0
JUJ_14137	0	0	0	0	0	0	0	0
JUJ_9767	0	0	0	0	0	0	0	2
JUJ_16868	0	11	62	2	3	1	18	1
JUJ_7726	0	0	0	0	0	0	0	0
JUJ_1333	0	0	0	0	0	0	0	0
JUJ_11529	0	0	0	0	0	0	1	0
JUJ_91	0	0	0	0	0	0	0	0
JUJ_13731	0	0	0	0	0	0	0	0
JUJ_12089	0	0	1	0	0	2	0	8
JUJ_14657	0	0	0	0	0	0	1365	0
JUJ_1967	0	0	0	0	0	0	0	0
JUJ_14228	0	0	0	0	0	0	0	0
JUJ_18653	0	0	0	0	0	3	0	0
JUJ_12926	0	0	49	40	0	7	0	8
JUJ_916	0	0	0	1	0	0	0	0
JUJ_8997	0	0	0	11	1	1	1	0
JUJ_11976	0	20	1	1	0	0	0	0
JUJ_11442	0	0	0	0	0	0	0	0
JUJ_13564	0	1	2	0	0	0	0	0
JUJ_1062	0	131	0	106	0	0	1	0
JUJ_13711	0	0	0	0	0	0	0	0
JUJ_19718	0	0	3	0	0	0	0	0
JUJ_7331	0	0	0	0	0	0	0	0
JUJ_5870	0	0	0	3	0	0	0	1
JUJ_3972	0	0	3	0	0	0	0	0
JUJ_4036	0	0	0	1	2	0	0	0
JUJ_11533	0	0	16	6	0	0	20	0
JUJ_11717	0	11	46	4	1	0	1	10
JUJ_5071	0	104	1	0	2	3	0	0
JUJ_18102	0	0	1	0	0	0	0	0
JUJ_3875	0	0	0	0	0	0	0	0
JUJ_469	0	0	0	0	0	0	0	0
JUJ_1705	1	0	4	0	0	0	0	0
JUJ_12179	0	0	1021	71	0	0	4	0
JUJ_1994	0	0	0	0	0	0	0	5
JUJ_18365	0	0	1	0	0	0	0	0
JUJ_771	2	3	9	61	0	0	0	21
JUJ_15857	0	0	0	0	0	0	338	0
JUJ_18017	0	0	22	1	128	62	1	0
JUJ_13958	0	45	3	45	0	1	1	4
JUJ_1812	0	0	0	0	0	0	0	0
JUJ_15233	0	0	0	0	0	0	0	0
JUJ_744	0	0	0	0	1	33	0	0
JUJ_2010	0	0	5	12	45	0	0	1
JUJ_14110	0	0	0	0	0	0	0	0
JUJ_7000	0	0	0	0	0	0	0	0
JUJ_18049	0	0	10	24	0	1	0	0
JUJ_1886	0	0	0	0	0	0	0	0
JUJ_6830	0	0	0	0	0	0	0	0
JUJ_1732	0	0	0	0	0	0	0	0
JUJ_13147	0	0	0	3	1	0	1	0
JUJ_11619	0	0	1	0	0	0	0	0
JUJ_12377	0	0	2	0	0	0	0	0
JUJ_10899	0	0	0	0	0	0	0	0
JUJ_2024	0	0	0	0	0	0	0	0
JUJ_13872	0	0	1	1	0	0	2248	0
JUJ_15216	0	0	0	0	0	0	0	0
JUJ_14870	0	1	1	0	0	0	192	1
JUJ_6355	0	0	0	0	0	0	0	0
JUJ_1966	0	0	0	0	0	0	0	0
JUJ_6070	0	0	0	26	3	0	1	3
JUJ_1048	0	0	0	64	0	0	0	0
JUJ_22647	0	0	0	0	0	0	22	0
JUJ_1717	0	0	6	10	39	0	0	0
JUJ_7105	0	0	0	0	0	0	0	0
JUJ_13998	0	1	1	1	0	0	70	0
JUJ_2092	0	0	0	0	0	0	0	0
JUJ_6823	0	0	0	0	0	0	0	0
JUJ_1826	0	0	0	0	0	0	0	0
JUJ_12842	0	0	0	0	0	0	0	9
JUJ_16684	0	0	0	0	0	0	0	0
JUJ_13695	0	0	0	0	0	0	0	0
JUJ_18275	0	0	0	49	0	0	0	0
JUJ_8594	0	0	0	0	0	0	0	0
JUJ_15155	0	0	0	0	1	0	1	0
JUJ_13719	0	0	0	0	0	0	0	0
JUJ_12833	2	0	0	0	0	0	0	0
JUJ_16587	0	0	0	0	0	0	0	0
JUJ_15957	0	2	23	0	0	0	11	15
JUJ_9580	0	0	0	7	0	0	0	0
JUJ_13513	0	0	0	0	0	0	0	0
